Cargo,Experiencia,Salario
Analista,Júnior,de R$ 3.001/mês a R$ 4.000/mês
Cientista,Sênior,de R$ 16.001/mês a R$ 20.000/mês
Cientista,Júnior,de R$ 6.001/mês a R$ 8.000/mês
Cientista,Pleno,de R$ 6.001/mês a R$ 8.000/mês
Analista,Pleno,de R$ 6.001/mês a R$ 8.000/mês
Analista,Júnior,de R$ 4.001/mês a R$ 6.000/mês
Analista,Sênior,de R$ 6.001/mês a R$ 8.000/mês
Analista,Pleno,de R$ 4.001/mês a R$ 6.000/mês
Cientista,Júnior,de R$ 6.001/mês a R$ 8.000/mês
Cientista,Júnior,de R$ 2.001/mês a R$ 3.000/mês
Analista,Pleno,de R$ 4.001/mês a R$ 6.000/mês
Analista,Júnior,de R$ 2.001/mês a R$ 3.000/mês
Analista,Júnior,de R$ 3.001/mês a R$ 4.000/mês
Cientista,Sênior,de R$ 8.001/mês a R$ 12.000/mês
Analista,Sênior,de R$ 6.001/mês a R$ 8.000/mês
Analista,Sênior,de R$ 16.001/mês a R$ 20.000/mês
Cientista,Pleno,de R$ 6.001/mês a R$ 8.000/mês
Cientista,Júnior,de R$ 1.001/mês a R$ 2.000/mês
Cientista,Júnior,de R$ 4.001/mês a R$ 6.000/mês
Analista,Pleno,de R$ 12.001/mês a R$ 16.000/mês
Analista,Sênior,de R$ 12.001/mês a R$ 16.000/mês
Analista,Júnior,de R$ 3.001/mês a R$ 4.000/mês
Analista,Pleno,de R$ 6.001/mês a R$ 8.000/mês
Cientista,Pleno,de R$ 6.001/mês a R$ 8.000/mês
Cientista,Pleno,de R$ 4.001/mês a R$ 6.000/mês
Cientista,Pleno,de R$ 8.001/mês a R$ 12.000/mês
Cientista,Sênior,de R$ 25.001/mês a R$ 30.000/mês
Analista,Pleno,de R$ 6.001/mês a R$ 8.000/mês
Analista,Pleno,de R$ 4.001/mês a R$ 6.000/mês
Analista,Pleno,de R$ 4.001/mês a R$ 6.000/mês
Cientista,Sênior,de R$ 8.001/mês a R$ 12.000/mês
Cientista,Júnior,de R$ 6.001/mês a R$ 8.000/mês
Cientista,Júnior,de R$ 4.001/mês a R$ 6.000/mês
Analista,Pleno,de R$ 4.001/mês a R$ 6.000/mês
Analista,Júnior,de R$ 1.001/mês a R$ 2.000/mês
Analista,Pleno,de R$ 6.001/mês a R$ 8.000/mês
Cientista,Pleno,de R$ 8.001/mês a R$ 12.000/mês
Cientista,Sênior,de R$ 12.001/mês a R$ 16.000/mês
Analista,Pleno,de R$ 4.001/mês a R$ 6.000/mês
Cientista,Júnior,de R$ 2.001/mês a R$ 3.000/mês
Analista,Sênior,de R$ 1.001/mês a R$ 2.000/mês
Cientista,Pleno,de R$ 4.001/mês a R$ 6.000/mês
Analista,Pleno,de R$ 6.001/mês a R$ 8.000/mês
Cientista,Sênior,de R$ 16.001/mês a R$ 20.000/mês
Analista,Sênior,de R$ 6.001/mês a R$ 8.000/mês
Analista,Pleno,de R$ 8.001/mês a R$ 12.000/mês
Cientista,Júnior,de R$ 2.001/mês a R$ 3.000/mês
Cientista,Pleno,de R$ 8.001/mês a R$ 12.000/mês
Analista,Sênior,de R$ 12.001/mês a R$ 16.000/mês
Cientista,Pleno,de R$ 6.001/mês a R$ 8.000/mês
Analista,Pleno,de R$ 6.001/mês a R$ 8.000/mês
Cientista,Sênior,de R$ 8.001/mês a R$ 12.000/mês
Analista,Sênior,de R$ 12.001/mês a R$ 16.000/mês
Cientista,Sênior,de R$ 12.001/mês a R$ 16.000/mês
Cientista,Júnior,de R$ 2.001/mês a R$ 3.000/mês
Analista,Pleno,de R$ 8.001/mês a R$ 12.000/mês
Analista,Pleno,de R$ 4.001/mês a R$ 6.000/mês
Cientista,Júnior,de R$ 8.001/mês a R$ 12.000/mês
Analista,Sênior,de R$ 12.001/mês a R$ 16.000/mês
Analista,Pleno,de R$ 8.001/mês a R$ 12.000/mês
Analista,Sênior,de R$ 8.001/mês a R$ 12.000/mês
Analista,Sênior,de R$ 4.001/mês a R$ 6.000/mês
Cientista,Júnior,de R$ 4.001/mês a R$ 6.000/mês
Cientista,Pleno,de R$ 4.001/mês a R$ 6.000/mês
Cientista,Pleno,de R$ 8.001/mês a R$ 12.000/mês
Analista,Pleno,de R$ 4.001/mês a R$ 6.000/mês
Analista,Júnior,de R$ 3.001/mês a R$ 4.000/mês
